evolution$generation,growthRate,gravityWeight,gravityGamma,gravityDecay,nwThreshold,nwExponent,nwGmax,slimeMouldFun,logmsepop,logmsedist
1058,0.0149560254691867,0.009161526983969338,0.163945931334855,967.5114312222819,19.979132360262135,9.997786549341049,0.1867225815028647,0,24.52248399863868,22.767681949269903
1058,0.037939109601303256,0.011453093924953793,1.5854944545912228,75.9819090615615,18.66046008179953,5.266448578920708,0.03232213953991858,1,36.927374556167976,22.76746044547122
1058,0.04456218174587589,0.0018458354710287886,2.5500822903401525,940.2387638147543,19.680355444440867,10.0,0.18349558805300503,1,30.146775110316835,22.76746046982599
1058,0.0,0.00121565490207173,3.340649849844122,986.0175143687846,19.67740420597285,10.0,0.15750779603021922,1,28.40217495051755,22.76746048853245
1058,0.04227070275356458,0.011092836408312386,1.5068548144711094,2.866051469272062,19.453989494733776,5.353492236641384,0.02065252605872749,1,34.76380649649417,22.767460460508545
1058,0.04301473497366972,0.011174362968294911,1.2760470218484423,58.69409000587727,18.65155650880466,5.217052795262389,0.03398058655885049,1,36.43270147497224,22.767460452139325
1058,0.022015684029313882,9.244945354026601E-4,2.1452096291455356,983.7151407101816,20.0,9.793278534379771,0.2,1,26.644604622743806,22.767460500140473
1058,0.014410725767368024,0.0027542423175743406,2.351087930067698,978.0055049120314,20.0,9.863162888781154,0.18726481883209062,1,31.563653007977482,22.767460466920046
1058,0.03718343853028022,0.011113453129080759,1.239280317800163,57.590712503854334,18.63626426695878,5.2280784948932535,0.03416570907765582,1,36.33069276931539,22.76746045329839
1058,0.14142369581521427,0.011940449434667762,0.1,983.0913519921585,19.89407224633222,10.0,2.590959292989321E-4,0,24.80771705139093,22.767460762430897
1058,0.049523483470997255,3.514026064101612E-4,2.336186476789319,948.0165052717924,19.693011127034705,10.0,0.1845402011469935,1,27.57822186712248,22.76746049975778
1058,0.0,0.008530269169889183,0.16591117376222642,903.3512202336893,20.0,9.973318669045067,0.1410968695249479,1,24.682405222149722,22.76747275402591
1058,0.0,0.00785092470422952,0.22490753997928065,939.0715402525342,18.125956929935192,6.955970774372137,0.0,1,24.87821986090812,22.767460508058367
1058,0.0,0.009498065947791188,0.1453377957641462,932.4579351621511,19.997832348031817,10.0,0.15707141779184453,1,24.543337293258077,22.767473522474006
