evolution$generation,evolution$evaluated,weightDensity,weightCenter,weightRoad,objective$TEDensCentre,objective$TECentreDens,objective$TEDensRoad,objective$TERoadDens,objective$TECentrRoad,objective$TERoadCentr,evolution$samples,evolution$generated,globalDensity,tTEDensCentre,TERoadDens,TECentrRoad,tTEDensRoad,centerNumber,rawTEDensRoad,rawTERoadDens,tTERoadDens,tTECentrRoad,rawTERoadCentr,seed,weightDensity,TEDensCentre,weightCenter,tTERoadCentr,weightRoad,rawTECentreDens,networkSpeed,rawTECentrRoad,localDensity,TERoadCentr,tTECentreDens,TEDensRoad,TECentreDens,rawTEDensCentre
70,70,0.2080163362451043,0.5355015961567219,0.3581968713302994,0.019831189557643424,0.03229663283012804,0.020529739528672916,0.03165917967465131,0.09420346737213761,0.08930006928886057,1,9,"[0.18198529411764705]","[6.479710504320996]","[0.03165917967465131]","[0.09420346737213761]","[5.937060260857636]","[1]","[0.020879208921269266]","[0.0314933434856044]","[9.772456805229188]","[63.580882380520194]","[0.08919866953795585]","[-1585919391]","[0.2080163362451043]","[0.019831189557643424]","[0.5355015961567219]","[63.56377530249599]","[0.3581968713302994]","[0.032378229171147854]","[1.3295002158260845]","[0.09455004974066017]","[0.27601955639383]","[0.08930006928886057]","[10.356181960085374]","[0.020529739528672916]","[0.03229663283012804]","[0.01999109468808702]"
70,70,0.8388033170915926,0.479888731562429,0.6835740105965314,0.01427853895500069,0.02510721208901486,0.021133974956938303,0.0336516490363272,0.1468104155928748,0.14803551454788938,1,23,"[0.07795918367346939]","[7.43596150490106]","[0.0336516490363272]","[0.1468104155928748]","[9.18683369527498]","[1]","[0.020823839760359286]","[0.03363490853146489]","[16.697135739845926]","[102.06897886594506]","[0.1475393598516539]","[-1259772878]","[0.8388033170915926]","[0.01427853895500069]","[0.479888731562429]","[126.3805966476299]","[0.6835740105965314]","[0.024311849684747644]","[1.363728191973283]","[0.14670144017930276]","[0.07273389064870478]","[0.14803551454788938]","[13.825269529383764]","[0.021133974956938303]","[0.02510721208901486]","[0.013766322957863508]"
70,70,0.37580142146605033,0.9330855365771555,0.3786774247570569,0.018564050919238566,0.03149493886242998,0.02374435888207216,0.026540132940580028,0.14297225474234945,0.1325611811859391,1,8,"[0.14086687306501547]","[7.903405565965321]","[0.026540132940580028]","[0.14297225474234945]","[10.082240870817508]","[1]","[0.02343556018182147]","[0.02629692058040045]","[7.952699215677921]","[99.82408202511483]","[0.132496368648092]","[704829649]","[0.37580142146605033]","[0.018564050919238566]","[0.9330855365771555]","[91.65893719299727]","[0.3786774247570569]","[0.031807316988522905]","[1.278447594200295]","[0.1431898944500105]","[0.19597274650730478]","[0.1325611811859391]","[11.440791342419256]","[0.02374435888207216]","[0.03149493886242998]","[0.01792576452699457]"
70,70,0.4656252526310453,0.5670835778123697,0.02508558284239797,0.01574165277037417,0.012190269830893672,0.020893699736947068,0.015017283437921462,0.1179680834844135,0.11336666474357897,1,31,"[0.06372549019607843]","[7.128535560933972]","[0.015017283437921462]","[0.1179680834844135]","[13.807303132133704]","[1]","[0.020917472048168406]","[0.014657945915285353]","[7.029285253660025]","[76.23741119955342]","[0.11330581029764741]","[2070797376]","[0.4656252526310453]","[0.01574165277037417]","[0.5670835778123697]","[93.02787068539054]","[0.02508558284239797]","[0.011889982113066466]","[1.3217042612029155]","[0.11798701273657142]","[0.08564706818972506]","[0.11336666474357897]","[5.3157043383880005]","[0.020893699736947068]","[0.012190269830893672]","[0.01612484727779151]"
70,70,0.5647152038675491,0.3739841411466885,0.798860838995885,0.013456192328728522,0.019910010331844644,0.015839197275599654,0.0257477299219196,0.1479950826452735,0.15429943745192667,1,43,"[0.08333333333333333]","[5.596020769241171]","[0.0257477299219196]","[0.1479950826452735]","[6.767174907699309]","[1]","[0.015621129360793962]","[0.02590238420928448]","[10.613853171635986]","[106.53718148814393]","[0.15441365122616957]","[-1226652311]","[0.5647152038675491]","[0.013456192328728522]","[0.3739841411466885]","[125.821635787207]","[0.798860838995885]","[0.01955782753818225]","[1.329919730107846]","[0.14800189682496412]","[0.08110372794014817]","[0.15429943745192667]","[8.581785929432874]","[0.015839197275599654]","[0.019910010331844644]","[0.013206172034520236]"
70,70,0.28100346134765164,0.5358837070488973,0.01,0.017709934007854266,0.01844847862738947,0.022777529344430197,0.01901467020300025,0.08752762145378476,0.07292844661226593,1,30,"[0.114375]","[6.84539368925476]","[0.01901467020300025]","[0.08752762145378476]","[9.160724679733626]","[1]","[0.0226291360499411]","[0.019022595578629842]","[6.414855065402733]","[61.83365391024446]","[0.0728171106611899]","[186529178]","[0.28100346134765164]","[0.017709934007854266]","[0.5358837070488973]","[56.17899746020485]","[0.01]","[0.01811865042031724]","[1.4483730895041125]","[0.0876595524171282]","[0.15164948379893325]","[0.07292844661226593]","[6.1735285999842775]","[0.022777529344430197]","[0.01844847862738947]","[0.017364478129962668]"
70,70,0.01,0.7293273532625091,0.01,0.0357982800675779,0.019740539271412373,0.05459980029375667,0.02924341186134127,0.05738656688056578,0.06233029623162763,1,26,"[0.341991341991342]","[7.962845758596468]","[0.02924341186134127]","[0.05738656688056578]","[12.313814312924958]","[1]","[0.05415304548366939]","[0.028535695519807724]","[7.219115162196911]","[42.10500571887367]","[0.06199523117860539]","[-346614029]","[0.01]","[0.0357982800675779]","[0.7293273532625091]","[53.397955553509526]","[0.01]","[0.019235151498099512]","[1.5345578905506048]","[0.057248185970210974]","[0.38582142199957603]","[0.06233029623162763]","[4.797862563554876]","[0.05459980029375667]","[0.019740539271412373]","[0.03599359869839769]"
70,70,0.01,0.7100221271465935,0.01,0.053597215162470395,0.018671060393848728,0.06486145005911054,0.02064155432135225,0.08524062174816138,0.0739536783368417,1,57,"[0.3409090909090909]","[12.579147821810471]","[0.02064155432135225]","[0.08524062174816138]","[18.04436158331407]","[1]","[0.06434713212034882]","[0.0210491025253281]","[5.258175763602678]","[73.01485838226345]","[0.07378880072642668]","[900781757]","[0.01]","[0.053597215162470395]","[0.7100221271465935]","[61.93739890562751]","[0.01]","[0.019099813152768208]","[1.5261498258279527]","[0.08499111022731687]","[0.3570821529282842]","[0.0739536783368417]","[4.229401626758395]","[0.06486145005911054]","[0.018671060393848728]","[0.05297289913879055]"
70,70,0.2768521386402258,0.5670835778123696,0.025085582842397973,0.027032390665415434,0.018366247412835986,0.018053143846982502,0.016233810477072796,0.10402174949113377,0.12375241578846437,1,10,"[0.10211640211640212]","[11.669759342421333]","[0.016233810477072796]","[0.10402174949113377]","[7.69137902395191]","[1]","[0.017782669090985692]","[0.01644774632481827]","[6.7223821051554316]","[80.08815521484378]","[0.12341839814257405]","[2075224490]","[0.2768521386402258]","[0.027032390665415434]","[0.5670835778123696]","[84.68984207640376]","[0.025085582842397973]","[0.01820382147880184]","[1.3313979420171493]","[0.1038335079928594]","[0.15846667292607236]","[0.12375241578846437]","[8.756965188729986]","[0.018053143846982502]","[0.018366247412835986]","[0.02644425494199698]"
70,70,0.18623695771477766,0.7418087609311006,0.3475350779738225,0.015444630626187039,0.03242369618127798,0.02147870077730445,0.03772090074893574,0.06821852787564485,0.05782681432332141,1,42,"[0.25925925925925924]","[4.691827224521392]","[0.03772090074893574]","[0.06821852787564485]","[5.8435133165813316]","[1]","[0.02085092123348442]","[0.03802857126597248]","[10.524839149386755]","[50.38511211675354]","[0.05782270186305993]","[1918323804]","[0.18623695771477766]","[0.015444630626187039]","[0.7418087609311006]","[36.68593485303156]","[0.3475350779738225]","[0.03256503699922342]","[1.413423902993185]","[0.06809122758426867]","[0.33799961443241194]","[0.05782681432332141]","[11.419162456359766]","[0.02147870077730445]","[0.03242369618127798]","[0.015826289718110953]"
