evolution$generation,evolution$evaluated,weightDensity,weightCenter,weightRoad,objective$TEDensCentre,objective$TECentreDens,objective$TEDensRoad,objective$TERoadDens,objective$TECentrRoad,objective$TERoadCentr,evolution$samples,evolution$generated,globalDensity,tTEDensCentre,TERoadDens,TECentrRoad,tTEDensRoad,centerNumber,rawTEDensRoad,rawTERoadDens,tTERoadDens,tTECentrRoad,rawTERoadCentr,seed,weightDensity,TEDensCentre,weightCenter,tTERoadCentr,weightRoad,rawTECentreDens,networkSpeed,rawTECentrRoad,localDensity,TERoadCentr,tTECentreDens,TEDensRoad,TECentreDens,rawTEDensCentre
70,70,0.6989016540942299,0.35616494087748246,0.6309921746961745,0.015315697721136988,0.02952245816765,0.015530184076019051,0.040281543274350684,0.13169441016121392,0.14657086131349187,2,29,"[0.06785195936139332,0.07315233785822021]","[6.323075141051305,8.030577221983908]","[0.035585571561881996,0.04497751498681937]","[0.14291735577453568,0.12047146454789216]","[5.704227193622946,8.230315364558022]","[1,1]","[0.012316546469331335,0.01888799886588055]","[0.03547592425462254,0.04512993782213304]","[18.74969227976086,20.632655820374005]","[103.30784296005606,89.44767203239807]","[0.15550321510037857,0.13739300976569324]","[556043002,1701125239]","[0.6989016540942299,0.6989016540942299]","[0.013458861037477433,0.017172534404796543]","[0.35616494087748246,0.35616494087748246]","[107.75543779663852,99.00513122481085]","[0.6309921746961745,0.6309921746961745]","[0.03001639138942691,0.02830152330947966]","[1.336522340342305,1.402451929878083]","[0.1425339249951998,0.12024907594138812]","[0.07513885035191459,0.08529476197665833]","[0.15553132792062918,0.13761039470635456]","[16.868666491497965,11.578638972546953]","[0.012251957284762471,0.01880841086727563]","[0.0305267517415463,0.0285181645937537]","[0.013281458797492096,0.017226248933316146]"
70,70,0.37580142146605033,0.9330855256245579,0.37867742396125526,0.025533749869254253,0.035486522385662946,0.02392840836936741,0.0419210863751463,0.09908254492663932,0.09866657856302712,1,2,"[0.16081632653061226]","[9.654790936878612]","[0.0419210863751463]","[0.09908254492663932]","[8.00877796551849]","[1]","[0.024409980479510818]","[0.04116784837739029]","[17.018910680279735]","[69.1128231934369]","[0.09872559812231962]","[1414960341]","[0.37580142146605033]","[0.025533749869254253]","[0.9330855256245579]","[79.23000935695103]","[0.37867742396125526]","[0.035600776912227516]","[1.3596745358531863]","[0.09880156598648737]","[0.21516572976918072]","[0.09866657856302712]","[13.192437111823681]","[0.02392840836936741]","[0.035486522385662946]","[0.02548527175511195]"
70,70,0.31219009344828685,0.9999999999999994,0.3089568283869151,0.03104658272193353,0.022770554856467787,0.014235237775660811,0.019845473138581978,0.03975849666978417,0.01746317140720756,1,55,"[0.2006048387096774]","[9.8123378142177]","[0.019845473138581978]","[0.03975849666978417]","[4.192933428275063]","[1]","[0.014423231522725954]","[0.019263007200857496]","[6.347998554146495]","[29.52959422241967]","[0.01738257566190482]","[-702583178]","[0.31219009344828685]","[0.03104658272193353]","[0.9999999999999994]","[13.402468647670286]","[0.3089568283869151]","[0.02195255961958198]","[1.3914851493421634]","[0.03959227669392118]","[0.34133350636235726]","[0.01746317140720756]","[6.605831815969445]","[0.014235237775660811]","[0.022770554856467787]","[0.030525314391170344]"
70,70,0.9579156918449448,0.15918946621968444,0.4030670496684395,0.011254489109011407,0.01857744612828525,0.009327362974540643,0.02549662475106567,0.13054584645856857,0.1403035217219333,1,37,"[0.055357142857142855]","[5.889093287453393]","[0.02549662475106567]","[0.13054584645856857]","[4.256621190523623]","[1]","[0.009341958745817225]","[0.026016813433976216]","[12.166202824257377]","[100.32718153816465]","[0.14021782695100882]","[585843025]","[0.9579156918449448]","[0.011254489109011407]","[0.15918946621968444]","[98.67267783308981]","[0.4030670496684395]","[0.01883884287267268]","[1.4599440041447111]","[0.13037299683706394]","[0.07386143421525848]","[0.1403035217219333]","[11.868360720261878]","[0.009327362974540643]","[0.01857744612828525]","[0.011293806456161182]"
70,70,0.6989016540942299,0.35616494087748246,0.6309921746961746,0.015208638032044686,0.02009609078376859,0.014837958018960467,0.0311472716210832,0.13957562693252648,0.12079100639851559,3,5,"[0.06184486373165619,0.068,0.06389452332657201]","[8.255006564578018,7.43025571885855,8.037694007812192]","[0.019830728021796303,0.0311472716210832,0.031240451995588815]","[0.17119501253744948,0.13957562693252648,0.13002086039686547]","[6.717524968895774,7.102065217007746,6.3562018238416025]","[1,1,1]","[0.012153185155071355,0.014753312802193497,0.01654179143613943]","[0.019222765527790342,0.03155302758690648,0.031530205904148456]","[8.05058351367089,17.581919266891592,13.62816057897282]","[124.85782877380889,102.83864456813399,103.05650620458043]","[0.1520510297181985,0.12059917939101195,0.11929946773177247]","[-950886031,-1463633131,-93482163]","[0.6989016540942299,0.6989016540942299,0.6989016540942299]","[0.015208638032044686,0.015709688551032667,0.014746163546311069]","[0.35616494087748246,0.35616494087748246,0.35616494087748246]","[122.38679356069515,93.21403996161135,97.97701780090772]","[0.6309921746961746,0.6309921746961746,0.6309921746961746]","[0.017801047305317175,0.027428516087784516,0.020453369130323917]","[1.3707132335968844,1.4381298424816609,1.3810878323584999]","[0.1712222505337475,0.13917709182047755,0.1300593812631201]","[0.0635841170169993,0.06909986032657235,0.06868262867491413]","[0.15225098778223828,0.12079100639851559,0.11929504420403032]","[8.495129744010235,11.785301597781713,8.231565809920847]","[0.012501472188663128,0.014837958018960467,0.01650868128361439]","[0.01757707538723403,0.02685376483941561,0.02009609078376859]","[0.015354484445344596,0.015587384776253987,0.014845838130129518]"
70,70,0.2369744480901244,0.5979313784349002,0.11601406121859781,0.022430735494403994,0.025703451462973693,0.028781010034446986,0.018826298192367998,0.08506639095338858,0.05712264627480759,1,68,"[0.13533834586466165]","[8.882732876827781]","[0.018826298192367998]","[0.08506639095338858]","[10.265034854058548]","[1]","[0.02834319671900709]","[0.019346060965090173]","[5.886975796845398]","[61.92444879932871]","[0.0571068557936516]","[1199311023]","[0.2369744480901244]","[0.022430735494403994]","[0.5979313784349002]","[47.33144745865801]","[0.11601406121859781]","[0.025860257083167193]","[1.4196262184400685]","[0.08462306453886281]","[0.21159327826287724]","[0.05712264627480759]","[10.760892459244566]","[0.028781010034446986]","[0.025703451462973693]","[0.022355324973717616]"
70,70,0.2768521386402258,0.5670835778123697,0.02508558284239797,0.022492997132204564,0.013914398525457672,0.022072049889408956,0.017199478765046187,0.08915548018638589,0.06718290790016851,2,1,"[0.13214285714285715,0.10952380952380952]","[6.7439993665868485,10.031760932574992]","[0.022581266503140983,0.01181769102695139]","[0.09449777811945292,0.08381318225331885]","[9.135105869493486,8.107288526454145]","[1,1]","[0.02624278205917796,0.017344091499769343]","[0.022740775664954693,0.012670273832348533]","[9.018912193759007,4.395656864405081]","[69.80042881957114,57.301899111381815]","[0.07046872944325022,0.06351473167143484]","[-1988627233,1544300027]","[0.2768521386402258,0.2768521386402258]","[0.020156358551939934,0.024829635712469194]","[0.5670835778123697,0.5670835778123697]","[55.406619013197435,45.67949632520297]","[0.02508558284239797,0.02508558284239797]","[0.017545625932919195,0.010160383148303476]","[1.418864931364725,1.3284503615835552]","[0.09460560135401619,0.08410772884023165]","[0.1847156756474524,0.17075327543828056]","[0.07066732660942773,0.06369848919090929]","[6.616034877825129,3.2382264157813663]","[0.025680815873323774,0.01846328390549414]","[0.017993826561848184,0.009834970489067158]","[0.02022482119456459,0.024369581604492874]"
70,70,0.20331108609270857,0.3464657051965014,0.44629907326497215,0.027785128713015222,0.035562432710752226,0.024855840890601586,0.03902684131305328,0.0946375559989021,0.06782561355156787,1,59,"[0.15895061728395063]","[10.991935656326218]","[0.03902684131305328]","[0.0946375559989021]","[7.979549560518987]","[1]","[0.024659979578688818]","[0.03875706490809838]","[14.065140514069434]","[61.9181827103085]","[0.06790216396376314]","[515427186]","[0.20331108609270857]","[0.027785128713015222]","[0.3464657051965014]","[49.14494319921164]","[0.44629907326497215]","[0.03500404779197086]","[1.7133680873977455]","[0.09477519092453557]","[0.21008929841043925]","[0.06782561355156787]","[13.900649631951175]","[0.024855840890601586]","[0.035562432710752226]","[0.027410176363372507]"
70,70,0.2609546348423118,0.5087929920285655,0.3582519532560134,0.01179138419628051,0.029364816633271798,0.009427662735856544,0.03568829051487279,0.07962127616317301,0.07319011377795016,1,35,"[0.14414414414414414]","[4.866942202102179]","[0.03568829051487279]","[0.07962127616317301]","[3.3942189862974015]","[1]","[0.009223907367265083]","[0.03518143687492725]","[12.615990836952784]","[51.28859393850627]","[0.07313547231878914]","[1844792351]","[0.2609546348423118]","[0.01179138419628051]","[0.5087929920285655]","[57.703989590781156]","[0.3582519532560134]","[0.029424095138742334]","[1.3400207846152776]","[0.07947949238585639]","[0.1923705799624553]","[0.07319011377795016]","[10.199728048565088]","[0.009427662735856544]","[0.029364816633271798]","[0.012010916057424437]"
70,70,0.3516031052205064,0.5087929920285655,0.3582519532560134,0.016231401467535888,0.02842337577370567,0.01954683187261864,0.03331765956842487,0.09720809887036906,0.09577695649230494,1,63,"[0.10406976744186046]","[6.086308760777054]","[0.03331765956842487]","[0.09720809887036906]","[6.801031857836879]","[1]","[0.018930349071278885]","[0.03347049918621048]","[13.29655931299601]","[69.46161269714348]","[0.09602095000903055]","[-798188137]","[0.3516031052205064]","[0.016231401467535888]","[0.5087929920285655]","[70.57612731906458]","[0.3582519532560134]","[0.02820338427765412]","[1.3884785956687622]","[0.09721795984685633]","[0.10837487636977172]","[0.09577695649230494]","[16.924840732936826]","[0.01954683187261864]","[0.02842337577370567]","[0.01618244223313514]"
70,70,0.01,0.5979313784349002,0.02341923815427408,0.0518851691053712,0.026239086131530795,0.06531018722764673,0.027726834589438493,0.03901002779928135,0.036044749255647074,1,50,"[0.33043478260869563]","[16.3288395303714]","[0.027726834589438493]","[0.03901002779928135]","[17.841253947142746]","[1]","[0.0644962594759868]","[0.028183944140195205]","[6.104430813434557]","[30.398931550126708]","[0.035799627068289874]","[-373139225]","[0.01]","[0.0518851691053712]","[0.5979313784349002]","[30.611119572139074]","[0.02341923815427408]","[0.025954735466726886]","[1.552896581836455]","[0.03945828841799215]","[0.3684892161779071]","[0.036044749255647074]","[6.23903112416817]","[0.06531018722764673]","[0.026239086131530795]","[0.05157080604028419]"
70,70,0.5647152038675491,0.09569736189706161,0.798860838995885,0.008335085410255006,0.02747630434478795,0.018479669829360317,0.038246563540794434,0.1485426691646802,0.1380154939964312,1,4,"[0.06545209176788123]","[4.576914674983644]","[0.038246563540794434]","[0.1485426691646802]","[6.886916772570511]","[1]","[0.018548335609311906]","[0.03828138306513362]","[20.12288486449243]","[122.06281334300373]","[0.13814906184749676]","[-744138118]","[0.5647152038675491]","[0.008335085410255006]","[0.09569736189706161]","[126.40777359013374]","[0.798860838995885]","[0.027568837489077458]","[1.8813304668052038]","[0.1489073747802181]","[0.07819589150923553]","[0.1380154939964312]","[10.766346198012686]","[0.018479669829360317]","[0.02747630434478795]","[0.008298834967931379]"
70,70,0.9326110359130253,0.3758674350391359,0.28484264450852786,0.0212101451443483,0.025485869806411862,0.01865898226906709,0.034277265046627536,0.12255494545073137,0.13672118713578432,1,14,"[0.05669761273209549]","[11.606073945729722]","[0.034277265046627536]","[0.12255494545073137]","[10.976010496016336]","[1]","[0.018563936687497007]","[0.034123001591117585]","[16.28402952576292]","[90.15770212706141]","[0.13673426323041182]","[-999773785]","[0.9326110359130253]","[0.0212101451443483]","[0.3758674350391359]","[124.21502402567766]","[0.28484264450852786]","[0.0252620504126555]","[1.4227291920738738]","[0.12284979547888963]","[0.06909254318359277]","[0.13672118713578432]","[13.996538570999848]","[0.01865898226906709]","[0.025485869806411862]","[0.02117525921708907]"
70,70,0.6975420295156802,0.09569736189706161,0.798860838995885,0.013646480074491114,0.03200075982088078,0.017437127436016716,0.04793403659356901,0.15581529160911675,0.15845357000243535,1,22,"[0.055106319257262656]","[6.64250427105331]","[0.04793403659356901]","[0.15581529160911675]","[9.644822632304466]","[1]","[0.017716379055478848]","[0.04774358267789003]","[21.865081013999262]","[128.47042255965565]","[0.15802160462589643]","[-1421843963]","[0.6975420295156802]","[0.013646480074491114]","[0.09569736189706161]","[116.46502409606188]","[0.798860838995885]","[0.032163556879091004]","[1.4858585894675205]","[0.15546617035548693]","[0.07374898787945]","[0.15845357000243535]","[16.29013725260916]","[0.017437127436016716]","[0.03200075982088078]","[0.01361380425016634]"
70,70,0.3076143646941596,1.0,0.31219804864129247,0.03084445486210646,0.029821673605004376,0.021359720844277442,0.028334566445702175,0.08544767176646764,0.08334085419417539,1,34,"[0.24735449735449735]","[10.16172704703552]","[0.028334566445702175]","[0.08544767176646764]","[6.5768639424332935]","[1]","[0.02133703611593729]","[0.028057780402874766]","[8.70567023366486]","[70.16699237342837]","[0.0830841068451571]","[-1841317660]","[0.3076143646941596]","[0.03084445486210646]","[1.0]","[65.42607530949248]","[0.31219804864129247]","[0.030778019369624543]","[1.4554276443837977]","[0.08530759985213687]","[0.3427208344560516]","[0.08334085419417539]","[9.466037039321685]","[0.021359720844277442]","[0.029821673605004376]","[0.03080316976477504]"
70,70,0.6240083977176287,0.5231581105092864,0.7739981039367845,0.014017558037428239,0.02907449589862092,0.016279684549119745,0.039445310753539214,0.15337053265638678,0.15696070923010363,1,52,"[0.0987080103359173]","[7.567242505842683]","[0.039445310753539214]","[0.15337053265638678]","[7.4660441385747225]","[1]","[0.01561972441826387]","[0.03937205548544953]","[17.62615175079178]","[110.70779169429662]","[0.15695729399325975]","[561306898]","[0.6240083977176287]","[0.014017558037428239]","[0.5231581105092864]","[119.68318757224627]","[0.7739981039367845]","[0.029473378087298885]","[1.3371242070052083]","[0.15319508582643904]","[0.08722006220175349]","[0.15696070923010363]","[13.041837525284647]","[0.016279684549119745]","[0.02907449589862092]","[0.014314316448174047]"
70,70,0.6197825821167036,0.5056950445377892,0.8539404562683556,0.011884251678723036,0.0232786511401155,0.01627746446444473,0.029604904349922325,0.11640815138019509,0.10282494229188702,1,6,"[0.10983981693363844]","[5.255820086437113]","[0.029604904349922325]","[0.11640815138019509]","[7.140713188912854]","[1]","[0.016226145239006007]","[0.02975454092781682]","[12.951064857050442]","[102.62414946481854]","[0.10294546559237272]","[1809864735]","[0.6197825821167036]","[0.011884251678723036]","[0.5056950445377892]","[66.83838707555026]","[0.8539404562683556]","[0.02315994111277675]","[1.3377570162748966]","[0.11630798569885314]","[0.09631813910772152]","[0.10282494229188702]","[10.839374324576728]","[0.01627746446444473]","[0.0232786511401155]","[0.01159392670390269]"
70,70,0.37552290873037714,1.0,0.38519620439726077,0.016735779711797502,0.033800711535513804,0.01894519013427446,0.03920444062586776,0.048038349134044034,0.03444504734284324,1,16,"[0.18276515151515152]","[6.1916088516208125]","[0.03920444062586776]","[0.048038349134044034]","[6.518441657449963]","[1]","[0.01888588250578893]","[0.03964162709101848]","[11.49101943201351]","[31.651541402327876]","[0.03427395112441034]","[1565326180]","[0.37552290873037714]","[0.016735779711797502]","[1.0]","[24.432702287361426]","[0.38519620439726077]","[0.03388007562434048]","[1.3301458965802366]","[0.048205905208064115]","[0.24379327856281255]","[0.03444504734284324]","[10.677678606696464]","[0.01894519013427446]","[0.033800711535513804]","[0.0165764379301494]"
70,70,0.6017152248985167,0.5228806049452402,0.666034930663838,0.01057948536904779,0.02457458489127341,0.01688174231987181,0.025857259890950033,0.15788983345400612,0.16120230339415592,1,21,"[0.07579787234042554]","[4.325365037724133]","[0.025857259890950033]","[0.15788983345400612]","[8.933379670020162]","[1]","[0.016530058699958827]","[0.025786017355903246]","[13.05811160397754]","[133.1339744644354]","[0.16101276892864758]","[559929374]","[0.6017152248985167]","[0.01057948536904779]","[0.5228806049452402]","[134.1291511575262]","[0.666034930663838]","[0.024738138072760485]","[1.3532069268338414]","[0.15798818507242895]","[0.07510842474215078]","[0.16120230339415592]","[9.670850197997563]","[0.01688174231987181]","[0.02457458489127341]","[0.010026354257281822]"
70,70,0.38075428518034726,0.9999999999999994,0.2830037913525137,0.017618949597775137,0.03464212778836885,0.014538490360812895,0.028994870328301506,0.11036703613836832,0.09224812522964727,1,64,"[0.1334688346883469]","[7.529864571376473]","[0.028994870328301506]","[0.11036703613836832]","[4.778340792580472]","[1]","[0.014959102614200859]","[0.029281200632579996]","[9.559274476290039]","[89.61836023514603]","[0.09211650947310757]","[-675490178]","[0.38075428518034726]","[0.017618949597775137]","[0.9999999999999994]","[68.84847396011679]","[0.2830037913525137]","[0.034696762241713364]","[1.3921125979178197]","[0.11019261621548893]","[0.22310016883970846]","[0.09224812522964727]","[12.573625046426816]","[0.014538490360812895]","[0.03464212778836885]","[0.017481185058932036]"
70,70,0.18623695771477766,0.9117945283549468,0.3475350779738225,0.026876409730768352,0.02423861028251953,0.02610180560290134,0.02031818171879389,0.09277986798074161,0.0787271130009546,1,49,"[0.229064039408867]","[8.680793221498453]","[0.02031818171879389]","[0.09277986798074161]","[7.372949129870702]","[1]","[0.027136684545893575]","[0.020867560982043454]","[6.429380912067058]","[66.94297164202496]","[0.0787123894804389]","[-608502122]","[0.18623695771477766]","[0.026876409730768352]","[0.9117945283549468]","[55.32964309678226]","[0.3475350779738225]","[0.023141661811575398]","[1.442985964401161]","[0.09269417346775977]","[0.3586083516189349]","[0.0787271130009546]","[6.645776351711289]","[0.02610180560290134]","[0.02423861028251953]","[0.02730448591900103]"
70,70,0.37552290873037714,1.0,0.24368624427452484,0.030727919820564522,0.028638590449191453,0.024695200190531345,0.015362500297686625,0.14178569337325253,0.11637203792460309,1,25,"[0.17290552584670232]","[11.268454660000181]","[0.015362500297686625]","[0.14178569337325253]","[8.355641635470377]","[1]","[0.025015317358672018]","[0.015766705374503864]","[4.826510683614086]","[104.15644054923317]","[0.11620131737525363]","[-1170982761]","[0.37552290873037714]","[0.030727919820564522]","[1.0]","[91.35889006257837]","[0.24368624427452484]","[0.029394866847015866]","[1.3109437573689704]","[0.14146335075041971]","[0.2521319974329764]","[0.11637203792460309]","[11.610455001764114]","[0.024695200190531345]","[0.028638590449191453]","[0.030064091716560437]"
70,70,0.32330159596319863,0.5355015961567219,0.04316225076828946,0.020393883847842686,0.020819606140823965,0.015091372359667444,0.017462984678290282,0.07891619477477547,0.08349209488199884,3,7,"[0.09135802469135802,0.07695652173913044,0.08033000434216239]","[8.623305361796705,11.671922249174697,8.901081449111123]","[0.013876011351033469,0.017462984678290282,0.021885677937672293]","[0.07891619477477547,0.07431815973470005,0.13643277134242157]","[6.860495746351401,8.95643655614509,6.624682466774478]","[1,1,1]","[0.015329841019884993,0.020749462428264476,0.015340473409226396]","[0.014029887258726559,0.017007392121720866,0.021984058610017287]","[5.1857559446382355,6.196491044709713,8.885913857596458]","[56.591799266259684,55.42272708166367,117.4413538135906]","[0.08224831622677242,0.08338652272233782,0.12290149751956148]","[842210520,-1561838357,672026192]","[0.32330159596319863,0.32330159596319863,0.32330159596319863]","[0.017726540703745252,0.024795870951907484,0.020393883847842686]","[0.5355015961567219,0.5355015961567219,0.5355015961567219]","[65.75670096438101,65.532365770651,84.26224853809475]","[0.04316225076828946,0.04316225076828946,0.04316225076828946]","[0.013315357967745856,0.02195181299388671,0.021638297628412406]","[1.4304462920707683,1.3770312014511639,1.3829443242163435]","[0.07927248364819328,0.07432531397384667,0.1364878166883139]","[0.12747892763847885,0.1085630942778539,0.10592522739519572]","[0.0820690306302783,0.08349209488199884,0.12310181914708937]","[4.8981728833384235,10.352280778689163,9.190400201163596]","[0.015091372359667444,0.020978767117286714,0.015035902375988135]","[0.014022025607515164,0.021945421107755058,0.020819606140823965]","[0.017354863830364886,0.02529474138470378,0.020743455414045542]"
